TIME TABLE FOR Fall 2019 SEMESTER [CS Department] <V1.3>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-J),,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,"Object Oriented Analysis & Design Lab (CS-D1, CS-D2)",,,,,,,,,,,,,,,,,,"Comp. Org. & Assembly Lang.  Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,,,,,,,,,,,"Data Structures  Lab (CS-E1, CS-E2)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Object Oriented Analysis & Design Lab (CS-C1, CS-C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,"Computer Networks Lab (CS-F1, CS-F2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,CS-1,,,,,Applied Programming (MS-DS),,,,,,,,,Data Science Tools and Tech. (MS-DS),,,,,,,,,Advanced Analysis of Algorithms (MS),,,,,,,,,,,,,,,,,,Natural Language Processing (MS-DS),,,,,,,,,Statistical Pattern Recog.  (MS),,,,,,,,,Marketing Management (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,Advanced Computer Architecture (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,Computer Architecture (CS-C),,,,,,,,,Evolutionary Computation (MS),,,,,,,,,Computer Architecture (CS-D),,,,,,,,,Digital Logic Design (CS-B) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,,,,,,,,,,Database Systems (CS-B),,,,,,,,,Database Systems (CS-A),,,,,,,,,Computer Architecture (CS-F),,,,,,,,,Compiler Construction (CS),,,,,,,,,Database Systems (CS-C),,,,,,,,,Calculus-II (CS-R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,Computer Networks (CS-A),,,,,,,,,Computer Networks (CS-D),,,,,,,,,Operating Systems (CS-C),,,,,,,,,Operating Systems (CS-B),,,,,,,,,Software Testing (CS),,,,,,,,,Computer Networks (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
